Month-Year,Value
1/1/1996,79.43
2/1/1996,75.86
3/1/1996,86.4
4/1/1996,72.67
5/1/1996,74.93
6/1/1996,83.88
7/1/1996,79.88
8/1/1996,62.47
9/1/1996,85.5
10/1/1996,83.19
11/1/1996,84.29
12/1/1996,89.79
1/1/1997,78.72
2/1/1997,77.49
3/1/1997,89.94
4/1/1997,81.35
5/1/1997,78.76
6/1/1997,89.59
7/1/1997,83.75
8/1/1997,69.87
9/1/1997,91.18
10/1/1997,89.52
11/1/1997,91.12
12/1/1997,92.97
1/1/1998,81.97
2/1/1998,85.26
3/1/1998,93.09
4/1/1998,81.19
5/1/1998,85.74
6/1/1998,91.24
7/1/1998,83.56
8/1/1998,66.45
9/1/1998,93.45
10/1/1998,86.03
11/1/1998,86.91
12/1/1998,93.42
1/1/1999,81.68
2/1/1999,81.68
3/1/1999,91.35
4/1/1999,79.55
5/1/1999,87.08
6/1/1999,96.71
7/1/1999,98.1
8/1/1999,79.22
9/1/1999,103.68
10/1/1999,101
11/1/1999,99.52
12/1/1999,111.94
1/1/2000,95.42
2/1/2000,98.49
3/1/2000,116.37
4/1/2000,101.09
5/1/2000,104.2
6/1/2000,114.79
7/1/2000,107.75
8/1/2000,96.23
9/1/2000,123.65
10/1/2000,116.24
11/1/2000,117
12/1/2000,128.75
1/1/2001,100.69
2/1/2001,102.99
3/1/2001,119.21
4/1/2001,92.56
5/1/2001,98.86
6/1/2001,111.26
7/1/2001,96.25
8/1/2001,79.81
9/1/2001,102.18
10/1/2001,96.28
11/1/2001,101.38
12/1/2001,109.97
1/1/2002,89.66
2/1/2002,89.23
3/1/2002,104.36
4/1/2002,87.17
5/1/2002,89.43
6/1/2002,102.25
7/1/2002,88.26
8/1/2002,75.73
9/1/2002,99.6
10/1/2002,96.57
11/1/2002,96.22
12/1/2002,101.12
1/1/2003,89.45
2/1/2003,86.87
3/1/2003,98.94
4/1/2003,85.62
5/1/2003,85.31
6/1/2003,101.22
7/1/2003,91.93
8/1/2003,77.01
9/1/2003,104.5
10/1/2003,99.83
11/1/2003,101.1
12/1/2003,109.16
1/1/2004,89.93
2/1/2004,92.73
3/1/2004,105.22
4/1/2004,91.56
5/1/2004,92.6
6/1/2004,104.46
7/1/2004,96.28
8/1/2004,79.61
9/1/2004,105.55
10/1/2004,99.15
11/1/2004,99.81
12/1/2004,113.72
1/1/2005,91.73
2/1/2005,90.45
3/1/2005,105.56
4/1/2005,92.15
5/1/2005,91.23
6/1/2005,108.95
7/1/2005,99.33
8/1/2005,83.3
9/1/2005,110.85
10/1/2005,104.99
11/1/2005,107.1
12/1/2005,114.38
1/1/2006,99.09
2/1/2006,99.73
3/1/2006,116.05
4/1/2006,103.51
5/1/2006,102.99
6/1/2006,119.45
7/1/2006,107.98
8/1/2006,90.5
9/1/2006,121.85
10/1/2006,117.12
11/1/2006,113.66
12/1/2006,120.35
1/1/2007,103.92
2/1/2007,103.97
3/1/2007,125.63
4/1/2007,104.69
5/1/2007,108.36
6/1/2007,123.09
7/1/2007,108.88
8/1/2007,93.98
9/1/2007,121.94
10/1/2007,116.79
11/1/2007,115.78
12/1/2007,127.28
1/1/2008,109.35
2/1/2008,105.64
3/1/2008,121.3
4/1/2008,108.62
5/1/2008,103.13
6/1/2008,117.84
7/1/2008,103.62
8/1/2008,89.22
9/1/2008,109.41
10/1/2008,103.93
11/1/2008,100.07
12/1/2008,101.15
1/1/2009,77.33
2/1/2009,75.01
3/1/2009,86.31
4/1/2009,74.09
5/1/2009,74.09
6/1/2009,85.58
7/1/2009,79.84
8/1/2009,65.24
9/1/2009,87.92
10/1/2009,84.45
11/1/2009,87.93
12/1/2009,102.42
1/1/2010,79.16
2/1/2010,78.4
3/1/2010,94.32
4/1/2010,84.45
5/1/2010,84.92
6/1/2010,103.18
7/1/2010,89.42
8/1/2010,77.66
9/1/2010,95.68
10/1/2010,94.03
11/1/2010,100.99
12/1/2010,101.26
1/1/2011,91.47
2/1/2011,87.66
3/1/2011,103.33
4/1/2011,88.56
5/1/2011,92.32
6/1/2011,102.21
7/1/2011,92.8
8/1/2011,76.44
9/1/2011,94
10/1/2011,91.67
11/1/2011,91.98
